Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
15530,9.001762023853951,0.0,7.97567526313353E10,626761.2404146936
15531,9.020812518620994,0.0,8.333318460999918E10,656543.6152047367
15532,9.039057231504554,0.0,8.690859159924036E10,686318.8281571874
15533,9.056561843481486,0.0,9.04830733458865E10,716083.7837201025
15534,9.07338347714332,0.0,9.405653938299028E10,745836.3212973708
15535,9.089573525713764,0.0,9.762904975921312E10,775578.3123736938
15536,9.105178311189073,0.0,1.0120078122046933E11,805314.2533175428
15537,9.120238186944196,0.0,1.0477164374132445E11,835042.2510488782
15538,9.134788626080786,0.0,1.0834134250198517E11,864759.9024006927
15539,9.148864172445325,0.0,1.1191022651550575E11,894470.2506744325
15540,9.162495338752679,0.0,1.1547845272694875E11,924175.7523125284
15541,9.17570987485298,0.0,1.1904619174035484E11,953878.498107296
15542,9.188532222253725,0.0,1.2261338116192502E11,983577.5071800536
15543,9.200984889981351,0.0,1.2618000787046313E11,1013271.500864587
15544,9.21308835980001,0.0,1.2974601665491174E11,1042959.6223152368
15545,9.224861576145678,0.0,1.3331139187419118E11,1072641.247893374
15546,9.236322319013777,0.0,1.3687622481073308E11,1102318.4351585654
15547,9.247486602109522,0.0,1.4044048282995984E11,1131991.2390720174
15548,9.258369287442143,0.0,1.4400415107908768E11,1161659.3058682426
15549,9.271601669325712,0.0,1.4845929978826978E11,1191320.9011148901
15550,7.353990323771939,0.0,1.7947085610799098E9,59823.618697049475
15551,7.530033150012538,0.0,2.6917638484151764E9,89725.46018094377
15552,7.65492539302879,0.0,3.588635406259996E9,119621.17693819362
15553,7.751796093575897,0.0,4.485389330977541E9,149512.9777291194
15554,7.9560212092154625,0.0,7.178364185452058E9,119621.17693819362
15555,8.052901483635974,0.0,8.972343045023396E9,149512.9777291194
15556,8.132055638905863,0.0,1.0766142231294725E10,179402.57087742828
15557,8.198976441372151,0.0,1.2559749848983889E10,209289.86869599338
15558,8.256940532517364,0.0,1.4353081310961988E10,239172.55696048692
15559,8.308064398539695,0.0,1.6146153163396015E10,269050.2826164919
15560,8.35378767858229,0.0,1.793875913850417E10,298920.1471263279
15561,8.308212637815078,0.0,1.6151665333911839E10,179402.57087742828
15562,8.37513611130742,0.0,1.8842601141018368E10,209289.86869599338
15563,8.433102404465354,0.0,2.153313249143434E10,239172.55696048692
15564,8.484228743910695,0.0,2.4223316783656807E10,269050.2826164919
15565,8.529954486367462,0.0,2.6912832097833157E10,298920.1471263279
15566,8.57131203524413,0.0,2.9601723432898453E10,328782.60559793934
15567,8.60906479911363,0.0,3.229013066862751E10,358639.8950563082
15568,8.643791958121206,0.0,3.497816322301867E10,388492.01054200757
15569,8.675940900812208,0.0,3.7665694395440346E10,418338.2715218826
15570,8.705867422020912,0.0,4.035269387881733E10,448178.724048272
15571,8.515337631157234,0.0,2.602211132713184E10,239172.55696048692
15572,8.558062970031475,0.0,2.8712295619354305E10,269050.2826164919
15573,8.596949704509576,0.0,3.1401810933530655E10,298920.1471263279
15574,8.63263091827081,0.0,3.409070226859595E10,328782.60559793934
15575,8.6655961437956,0.0,3.677910950432501E10,358639.8950563082
15576,8.696230578799433,0.0,3.946714205871617E10,388492.01054200757
15577,8.724840595309356,0.0,4.215467323113785E10,418338.2715218826
15578,8.751676642958417,0.0,4.484167271451483E10,448178.724048272
15579,8.776947090846928,0.0,4.752829998307147E10,478015.82013619493
15580,8.800824755774801,0.0,5.021459588268947E10,507849.2233663996
15581,8.823453559759775,0.0,5.2900381132781746E10,537676.4055908575
15582,8.844957106367112,0.0,5.558560942268562E10,567497.3996453703
15583,8.865441028429542,0.0,5.827017418045153E10,597311.5054471247
15584,8.884996295366076,0.0,6.095391497596133E10,627116.3504636267
15585,8.903703519327305,0.0,6.363687572179156E10,656913.5487920088
15586,8.92163279105764,0.0,6.631902630129984E10,686701.8630401993
15587,8.93884724162128,0.0,6.900055928390088E10,716482.1706366297
15588,8.955401390406633,0.0,7.168144938266226E10,746253.6719705383
