Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
17831,8.445490190667067,0.0,3.939991545729288E10,328067.8892086196
17832,8.483233933909625,0.0,4.297729476546322E10,357855.8385422355
17833,8.517949273415137,0.0,4.655372674412711E10,387638.21333227865
17834,8.550084984434955,0.0,5.012913373336829E10,417413.4262847294
17835,8.57999827610068,0.0,5.3703615480014435E10,447178.38184764446
17836,8.607975601358934,0.0,5.727708151711821E10,476930.9194249128
17837,8.634252361121709,0.0,6.084959189334106E10,506672.9105012357
17838,8.659024305720848,0.0,6.442132335459727E10,536408.8514450847
17839,8.682453641288959,0.0,6.799218587545239E10,566136.84917642
17840,8.704676382650387,0.0,7.15618846361131E10,595854.5005282345
17841,8.725812421731879,0.0,7.513076864963365E10,625564.8488019743
17842,8.745963752929754,0.0,7.869899486107664E10,655270.3504400703
17843,8.765218801391523,0.0,8.226673387448274E10,684973.0962348378
17844,8.783653489203504,0.0,8.583392329605293E10,714672.1053075955
17845,8.801334696521899,0.0,8.940055000459105E10,744366.0989921289
17846,8.818321242624098,0.0,9.296655878903963E10,774054.2204427787
17847,8.834665476220007,0.0,9.653193400831909E10,803735.8460209158
17848,8.850414501717362,0.0,1.00096766944861E11,833413.0332861074
17849,8.865609933233683,0.0,1.036610249640878E11,863085.8371995594
17850,8.880289230595729,0.0,1.072246932132157E11,892753.9039957847
17851,8.897969189205796,0.0,1.1167984192239783E11,922415.4992424322
17852,8.914954046824143,0.0,1.1613407549814432E11,952070.1537451886
17853,8.931296034939226,0.0,1.2058732833147237E11,981717.6717812796
17854,8.947043628347684,0.0,1.2504009188556656E11,1011362.2413581936
17855,8.962233613553629,0.0,1.2949091098996736E11,1040985.2785334919
17856,8.976897273893307,0.0,1.3393773883885208E11,1070563.2421478834
17857,8.988272779238184,0.0,1.3749233286089896E11,1100133.0640875527
17858,8.999361767061462,0.0,1.4104817813703784E11,1129721.9727957288
17859,9.010179468532979,0.0,1.44605627506886E11,1159331.6062774663
17860,9.020735668812842,0.0,1.4816356065285013E11,1188948.5149736186
17861,7.103327030089011,0.0,1.7919696094586945E9,59732.32298144743
17862,7.279375078634453,0.0,2.687688196042703E9,89589.61243981625
17863,7.404273362081392,0.0,3.583251620835232E9,119441.7279255156
17864,7.501142051077995,0.0,4.47863946259882E9,149287.98890539067
17865,7.705410503909576,0.0,7.168277045775027E9,119441.7279255156
17866,7.80228037820223,0.0,8.959520422630945E9,149287.98890539067
17867,7.881421050039771,0.0,1.0750422269886559E10,179128.44143178008
17868,7.948330905899573,0.0,1.2541094879446476E10,208965.53751970298
17869,8.00628880073913,0.0,1.4331558232552774E10,238798.94074990763
17870,8.057405402357125,0.0,1.6121671626377052E10,268626.1229743656
17871,8.103125171295913,0.0,1.7911414762549843E10,298447.1170288784
17872,8.057612926704778,0.0,1.6129377095160517E10,179128.44143178008
17873,8.124522662000576,0.0,1.8816004363717163E10,208965.53751970298
17874,8.182480114733197,0.0,2.1502300263335175E10,238798.94074990763
17875,8.233596631174928,0.0,2.4188085513427456E10,268626.1229743656
17876,8.279316308599077,0.0,2.6873313803331333E10,298447.1170288784
17877,8.320668299735486,0.0,2.9557878561097233E10,328261.2228306328
17878,8.358411843763651,0.0,3.224161935660704E10,358066.0678471348
17879,8.393126152139336,0.0,3.492458010243727E10,387863.2661755169
17880,8.4252605031181,0.0,3.760673068194556E10,417651.5804237074
17881,8.455173440642639,0.0,4.028826366454659E10,447431.8880201378
